Tipo,Dist,n,AIC,KS_D,KS_p_boot,CvM_W2,CvM_p_boot,AD_A2,AD_p_boot,B
C_pack,Gamma,79,189.15478612882987,0.0896977648143572,0.11888111888111888,0.14283765500757867,0.03896103896103896,0.8981192575633941,0.025974025974025976,1000
C_pack,Weibull,79,189.34048291362683,0.09399624286834463,0.07792207792207792,0.15791165243664107,0.01998001998001998,0.9591029466565999,0.01898101898101898,1000
C_pack,LogNormal,79,206.44259823892415,0.13902964128545298,0.001998001998001998,0.268058974290413,0.001998001998001998,1.9496479166209895,0.000999000999000999,1000
C_pack,InvGauss,79,267.96439602985737,0.3606449650099461,0.000999000999000999,3.2132782380538125,0.000999000999000999,14.826849669874449,0.000999000999000999,1000
C_brand,Gamma,508,1422.6768922688373,0.09979538799055249,0.000999000999000999,1.3639798879375644,0.000999000999000999,9.069758673508886,0.000999000999000999,1000
C_brand,Weibull,508,1424.3107580182532,0.10073459936784557,0.000999000999000999,1.5055176470710085,0.000999000999000999,9.732508899400045,0.000999000999000999,1000
C_brand,LogNormal,508,1673.0357254925357,0.17352161931266363,0.000999000999000999,5.08699761174222,0.000999000999000999,30.810367951750095,0.000999000999000999,1000
C_brand,InvGauss,508,2883.8047776257163,0.6418647393462705,0.000999000999000999,77.20385261306899,0.000999000999000999,386.8417462205945,0.000999000999000999,1000
C_vol,Gamma,15,47.753646852925534,0.15077603911824378,0.5294705294705294,0.09028518413777692,0.16883116883116883,0.5452432388315973,0.16883116883116883,1000
C_vol,Weibull,15,48.26913818411024,0.160928133436962,0.38461538461538464,0.09112465531476409,0.14085914085914086,0.546672790620665,0.16683316683316685,1000
C_vol,LogNormal,15,46.47966077038574,0.14358922262247248,0.5904095904095904,0.052225377040248704,0.5224775224775224,0.36441125118347095,0.47052947052947053,1000
C_vol,InvGauss,15,45.85021777788259,0.13623711588847257,0.7052947052947053,0.04477039878538194,0.6613386613386614,0.3252605113403799,0.5754245754245755,1000
C0_self,Gamma,71,221.68561485791025,0.08589328538965456,0.26173826173826176,0.056976247511120424,0.46053946053946054,0.43732436274260067,0.33266733266733267,1000
C0_self,Weibull,71,221.4968286601916,0.08003463480094052,0.2987012987012987,0.04789564720722367,0.5264735264735265,0.39606030449039054,0.38161838161838163,1000
C0_self,LogNormal,71,246.71850120906427,0.13969862603273725,0.002997002997002997,0.3505607601463937,0.000999000999000999,2.298177866776058,0.000999000999000999,1000
C0_self,InvGauss,71,345.58381499265147,0.4936885047206648,0.000999000999000999,5.907402408974349,0.000999000999000999,27.74443720176916,0.000999000999000999,1000
C_envase,Gamma,55,203.58218310199143,0.09935216695348614,0.2097902097902098,0.07403839465159734,0.2757242757242757,0.4764176221886771,0.24675324675324675,1000
C_envase,Weibull,55,205.67312712595765,0.10979296185395904,0.0939060939060939,0.09871653350856664,0.10989010989010989,0.6423804614371349,0.1018981018981019,1000
C_envase,LogNormal,55,202.22025623813238,0.0766255777432499,0.5594405594405595,0.04581082719715197,0.5724275724275725,0.2583175614664768,0.7182817182817183,1000
C_envase,InvGauss,55,205.63848141772112,0.10732506175562356,0.16383616383616384,0.10683810114233136,0.15684315684315683,0.5536777849697359,0.21178821178821178,1000
