line,baseline_prod_h,baseline_changeover_h,baseline_startup_h,baseline_total_h,opt_prod_h,opt_changeover_h,opt_startup_h,opt_total_h,capacity_h,opt_slack_h,saved_h,n_skus,sequence
L14,68.57012427763703,3.825152777777778,1.0,73.39527705541481,36.84163282966604,3.825152777777778,1.0,41.66678560744382,110.0,68.33321439255619,31.72849144797099,3,TU13LTN -> FD13LTNN -> LC13LTNN
L17,83.64622996832775,16.453671578003323,1.5,101.59990154633107,96.73215243177053,12.75815309374749,1.5,110.99030552551802,115.0,4.009694474481975,-9.390403979186956,11,VI1324MM -> SK13LN -> ED13LP24 -> XI13LTN -> TUP13LT -> DL13LT -> KE13LTNN -> KE13PL12 -> FDT13LT -> XI13P24M -> VO13LTNN
L19,89.43191357668358,21.35040211498343,1.5,112.28231569166701,93.8591563855513,17.60359070969998,1.5,112.96274709525127,115.0,2.0372529047487262,-0.6804314035842651,14,EN13L24B -> EX1324NB -> EX12LBN -> VI12LTX -> DL12LT -> EX12LB24 -> VO12LT -> VI12LTW -> ED12LTW -> EN12B24I -> FDL13LN -> ID12LBN -> LC12LTW -> XI13L12M
