Tipo,Dist,n,AIC,KS_D,KS_p_boot,CvM_W2,CvM_p_boot,AD_A2,AD_p_boot,B,selection_rule
C_pack,Gamma,79,189.15478612882987,0.0896977648143572,0.11888111888111888,0.14283765500757867,0.03896103896103896,0.8981192575633941,0.025974025974025976,1000,fallback_min_aic
C_brand,Gamma,508,1422.6768922688373,0.09979538799055249,0.000999000999000999,1.3639798879375644,0.000999000999000999,9.069758673508886,0.000999000999000999,1000,fallback_min_aic
C_vol,InvGauss,15,45.85021777788259,0.13623711588847257,0.7052947052947053,0.04477039878538194,0.6613386613386614,0.3252605113403799,0.5754245754245755,1000,accepted_min_aic
C0_self,Weibull,71,221.4968286601916,0.08003463480094052,0.2987012987012987,0.04789564720722367,0.5264735264735265,0.39606030449039054,0.38161838161838163,1000,accepted_min_aic
C_envase,LogNormal,55,202.22025623813238,0.0766255777432499,0.5594405594405595,0.04581082719715197,0.5724275724275725,0.2583175614664768,0.7182817182817183,1000,accepted_min_aic
