Tipo,Dist,n,AIC,KS_D,KS_p_boot,CvM_W2,CvM_p_boot,AD_A2,AD_p_boot,B
C_pack,Gamma,79,189.15478612882987,0.0896977648143572,0.11888111888111888,0.14283765500757867,0.03896103896103896,0.8981192575633941,0.025974025974025976,1000
C_brand,Gamma,508,1422.6768922688373,0.09979538799055249,0.000999000999000999,1.3639798879375644,0.000999000999000999,9.069758673508886,0.000999000999000999,1000
C_vol,Gamma,15,47.753646852925534,0.15077603911824378,0.5294705294705294,0.09028518413777692,0.16883116883116883,0.5452432388315973,0.16883116883116883,1000
C0_self,Gamma,71,221.68561485791025,0.08589328538965456,0.26173826173826176,0.056976247511120424,0.46053946053946054,0.43732436274260067,0.33266733266733267,1000
C_envase,Gamma,55,203.58218310199143,0.09935216695348614,0.2097902097902098,0.07403839465159734,0.2757242757242757,0.4764176221886771,0.24675324675324675,1000
